epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0549,0.8832,3.67844,0.89213,0.0276,0.90486,0.26279,0.18625,0.74176,3.67603,0.79213,0.000271759,0.000271759,0.000271759
2,13.0497,0.89585,2.35408,0.8969,0.86591,0.45276,0.89939,0.69126,0.7466,2.25298,0.85738,0.000531294,0.000531294,0.000531294
3,16.2456,0.90121,1.44267,0.91535,0.97734,0.96587,0.993,0.77228,0.79948,1.06024,0.88472,0.000772504,0.000772504,0.000772504
4,20.1741,0.94209,1.1268,0.94324,0.98588,0.98551,0.99366,0.78859,0.7908,0.82053,0.89349,0.000750533,0.000750533,0.000750533
5,24.6379,0.85502,0.99737,0.9125,0.969,0.98033,0.98704,0.80194,0.74963,0.75553,0.88345,0.000723044,0.000723044,0.000723044
6,28.3034,0.83343,0.91255,0.91608,0.99541,0.99866,0.99407,0.82226,0.70864,0.67001,0.87003,0.000695555,0.000695555,0.000695555
7,31.8753,0.82353,0.84341,0.90304,0.99616,0.99866,0.9938,0.82311,0.70284,0.57252,0.86957,0.000668066,0.000668066,0.000668066
8,34.9711,0.82526,0.78802,0.90741,0.99575,0.99814,0.99446,0.82339,0.69794,0.56653,0.87288,0.000640577,0.000640577,0.000640577
9,38.4358,0.80884,0.76514,0.895,0.99639,0.99866,0.99485,0.82981,0.68784,0.55543,0.86935,0.000613088,0.000613088,0.000613088
10,41.9433,0.80494,0.73873,0.90437,0.99433,0.99866,0.99472,0.82771,0.67725,0.53201,0.86949,0.000585599,0.000585599,0.000585599
11,45.4028,0.79074,0.68903,0.89817,0.99649,0.99866,0.9949,0.82021,0.70591,0.52631,0.87753,0.00055811,0.00055811,0.00055811
12,49.4384,0.78904,0.70157,0.89866,0.99626,0.99866,0.9947,0.83732,0.65977,0.52033,0.86252,0.000530621,0.000530621,0.000530621
13,52.4129,0.79278,0.69849,0.89718,0.9959,0.99866,0.99466,0.83423,0.66606,0.49374,0.86119,0.000503132,0.000503132,0.000503132
14,55.2842,0.77883,0.66224,0.87821,0.99718,0.99866,0.99465,0.83251,0.6614,0.46869,0.86508,0.000475643,0.000475643,0.000475643
15,58.0823,0.785,0.66865,0.88851,0.99706,0.99866,0.99479,0.83055,0.67753,0.49293,0.86801,0.000448154,0.000448154,0.000448154
16,60.8128,0.78181,0.65951,0.90172,0.99635,0.99866,0.99475,0.83056,0.67036,0.46935,0.86828,0.000420665,0.000420665,0.000420665
17,63.8831,0.77988,0.63502,0.88227,0.99712,0.99866,0.99463,0.82819,0.67634,0.45028,0.86769,0.000393176,0.000393176,0.000393176
18,66.8719,0.77204,0.67553,0.88956,0.99701,0.99866,0.99458,0.83303,0.66869,0.47018,0.86754,0.000365687,0.000365687,0.000365687
19,69.8973,0.7703,0.63643,0.89038,0.99711,0.99866,0.99449,0.83475,0.67091,0.44822,0.86991,0.000338198,0.000338198,0.000338198
20,73.1172,0.764,0.62933,0.89844,0.99751,0.99866,0.99408,0.83733,0.6549,0.4398,0.86594,0.000310709,0.000310709,0.000310709
21,93.2911,0.76239,0.71874,0.89135,0.99573,0.99837,0.99377,0.83253,0.66718,0.49501,0.86626,0.00028322,0.00028322,0.00028322
22,96.7916,0.75445,0.63649,0.88649,0.99656,0.99866,0.9934,0.82979,0.67067,0.4477,0.87068,0.000255731,0.000255731,0.000255731
23,99.8908,0.75019,0.6206,0.88673,0.99681,0.99853,0.9932,0.83133,0.66271,0.44545,0.86801,0.000228242,0.000228242,0.000228242
24,102.963,0.74853,0.61051,0.88237,0.99665,0.99866,0.99323,0.82678,0.67758,0.43995,0.87195,0.000200753,0.000200753,0.000200753
25,105.888,0.74633,0.60155,0.88233,0.99754,0.99835,0.99328,0.83253,0.66299,0.42167,0.86873,0.000173264,0.000173264,0.000173264
26,109.08,0.74032,0.60006,0.8857,0.99739,0.99866,0.9934,0.8365,0.6511,0.41842,0.86376,0.000145775,0.000145775,0.000145775
27,112.128,0.74169,0.59766,0.88712,0.99769,0.99866,0.99361,0.83528,0.65352,0.41258,0.86567,0.000118286,0.000118286,0.000118286
28,115.2,0.73818,0.58508,0.876,0.99771,0.99866,0.99364,0.83348,0.65444,0.41447,0.86599,9.0797e-05,9.0797e-05,9.0797e-05
29,118.041,0.73801,0.58368,0.88389,0.99764,0.99866,0.9937,0.83415,0.65147,0.41707,0.86544,6.3308e-05,6.3308e-05,6.3308e-05
30,120.875,0.74082,0.58937,0.88367,0.99761,0.99866,0.99371,0.83566,0.6494,0.41021,0.86426,3.5819e-05,3.5819e-05,3.5819e-05
