epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.01773,1.68016,4.86838,0.84942,0,0,0,0,1.46106,4.3964,0.82324,0.00020825,0.00020825,0.00020825
2,10.8551,1.73267,4.03648,0.82809,0.00298,0.1078,0.09854,0.01272,1.51442,4.1373,0.82659,0.000410811,0.000410811,0.000410811
3,12.5304,1.66206,3.66288,0.82603,0.03547,0.5098,0.29785,0.15635,1.49309,3.71358,0.82887,0.000599077,0.000599077,0.000599077
4,14.2463,1.77071,3.39218,0.82503,0.68856,0.1274,0.46259,0.2004,1.78713,3.23968,0.8392,0.000750533,0.000750533,0.000750533
5,16.0034,1.69929,3.078,0.81892,0.71606,0.25,0.47473,0.26545,1.5795,2.83417,0.83368,0.000723044,0.000723044,0.000723044
6,17.726,1.56599,3.01072,0.80282,0.61418,0.42768,0.48935,0.27925,1.48659,2.27619,0.81066,0.000695555,0.000695555,0.000695555
7,19.5725,1.42319,2.76292,0.80907,0.43695,0.68231,0.66588,0.42316,1.34908,1.9661,0.78657,0.000668066,0.000668066,0.000668066
8,21.468,1.41728,2.6175,0.79413,0.58377,0.73183,0.78639,0.53086,1.13569,1.82694,0.77655,0.000640577,0.000640577,0.000640577
9,23.1449,1.43603,2.4441,0.79709,0.63459,0.64175,0.62657,0.40516,1.30237,1.68259,0.77312,0.000613088,0.000613088,0.000613088
10,24.858,1.42991,2.63499,0.79007,0.38802,0.75721,0.7158,0.43681,1.36646,1.65072,0.77576,0.000585599,0.000585599,0.000585599
11,26.5636,1.30407,2.16639,0.80548,0.41229,1,0.70481,0.47415,1.11342,1.55362,0.76804,0.00055811,0.00055811,0.00055811
12,28.2114,1.26793,2.16639,0.81096,0.49614,0.87329,0.76871,0.48572,1.18097,1.40935,0.77672,0.000530621,0.000530621,0.000530621
13,29.9051,1.29207,2.11697,0.79916,0.55193,0.94045,0.77036,0.46509,1.25375,1.38473,0.78172,0.000503132,0.000503132,0.000503132
14,31.59,1.22863,2.01852,0.81736,0.57008,0.87874,0.78758,0.51358,1.07313,1.31557,0.77406,0.000475643,0.000475643,0.000475643
15,33.2527,1.2685,1.93261,0.79825,0.6794,0.75,0.84235,0.56214,1.06534,1.25954,0.76861,0.000448154,0.000448154,0.000448154
16,34.9757,1.15415,1.84084,0.80017,0.72383,0.74869,0.85602,0.57646,1.06873,1.25098,0.76747,0.000420665,0.000420665,0.000420665
17,36.6517,1.14832,1.77301,0.80213,0.58847,0.9976,0.89598,0.58783,1.05819,1.20324,0.76983,0.000393176,0.000393176,0.000393176
18,38.3186,1.11942,1.7031,0.81733,0.60774,0.91633,0.87526,0.59644,1.04533,1.17516,0.7751,0.000365687,0.000365687,0.000365687
19,40.0625,1.13842,1.68746,0.79794,0.63382,0.88826,0.91279,0.62311,1.04552,1.13793,0.77254,0.000338198,0.000338198,0.000338198
20,41.7265,1.16971,1.62137,0.80392,0.7581,0.92984,0.99198,0.67107,1.04526,1.07618,0.7705,0.000310709,0.000310709,0.000310709
21,59.7869,1.00688,1.59904,0.80826,0.78314,0.98873,0.99224,0.65763,1.06417,1.06375,0.77084,0.00028322,0.00028322,0.00028322
22,61.6956,0.98508,1.54182,0.79307,0.77861,0.9976,0.99247,0.68249,1.00803,0.96821,0.77492,0.000255731,0.000255731,0.000255731
23,63.5028,1.00322,1.53813,0.79495,0.81693,0.92077,0.99202,0.66157,1.06879,0.90125,0.77465,0.000228242,0.000228242,0.000228242
24,65.2995,0.94495,1.43573,0.80363,0.85675,0.98516,0.99197,0.66391,1.07005,0.88882,0.77361,0.000200753,0.000200753,0.000200753
25,67.0353,0.95729,1.51285,0.78638,0.86107,0.98002,0.99193,0.6865,1.00415,0.85356,0.76753,0.000173264,0.000173264,0.000173264
26,68.7279,0.95797,1.48133,0.78857,0.89171,0.97834,0.99193,0.69925,0.99144,0.84164,0.76919,0.000145775,0.000145775,0.000145775
27,70.5419,0.93385,1.43329,0.79359,0.92405,0.99209,0.99185,0.69452,0.99974,0.81244,0.77616,0.000118286,0.000118286,0.000118286
28,72.27,0.92904,1.38052,0.7909,0.98585,0.9976,0.99194,0.68945,1.00925,0.80254,0.7774,9.0797e-05,9.0797e-05,9.0797e-05
29,73.9667,0.89802,1.34981,0.79337,0.98575,0.9976,0.99197,0.6952,1.00118,0.79096,0.77543,6.3308e-05,6.3308e-05,6.3308e-05
30,75.6169,0.95667,1.42768,0.80176,0.98673,0.9976,0.99197,0.69852,0.9945,0.78361,0.7728,3.5819e-05,3.5819e-05,3.5819e-05
